x,y,alpha,beta,eg_p,adf_p,half_life,score
XLI,VIS,-2.6362155124271,1.9487903586976696,0.015383372271064172,0.003369933520233061,inf,0.2075013223165189
VDC,XLV,-20.372840616674722,0.8168734355437947,0.024536163700787667,0.005796378486065667,inf,0.21213301687474134
XLV,XLB,3.8710911090565716,0.58173781637086,0.028625958652565196,0.006928232616553714,inf,0.21422167650764756
VDC,XLB,-9.050979552163753,0.4822087390132616,0.03401382939381371,0.008492670028286521,inf,0.21700259976884012
VHT,XLB,1.0697191150427017,0.3222154130729266,0.037136074618495774,0.009405479661391939,inf,0.2186166217119551
XLP,XLV,-24.04788092346439,2.1985387943787194,0.04041155649834374,0.010415219325659782,inf,0.22033071032960141
XLF,VFH,1.5098457092021107,2.3853579980042987,0.040932037595257396,0.01057341867633599,inf,0.22060218250863736
VDC,VAW,-13.783563854989353,1.0297496997521285,0.04600007407980888,0.01213033027446416,inf,0.22325216174170923
XLV,VAW,14.066991343888375,1.2398459409753806,0.047520528157806385,0.012597204721610241,inf,0.22404709315176666
XLK,VIS,70.92007850380624,0.7666073243329876,0.05111115883464552,0.013742647112802124,inf,0.22594152237897908
XLP,VAW,-16.95787711421528,2.7465310007129173,0.055337056437739535,0.015116557379381751,inf,0.22818144552684852
XLK,XLI,37.78579152617664,0.3930267680784582,0.05843883303328352,0.01613385006526167,inf,0.2298290732394181
VGT,VIS,68.68269878577753,0.2997273342063761,0.07037178130415651,0.020185316523727202,inf,0.2362228391311535
VHT,VAW,8.351234460653785,0.6854403013875431,0.07211167053918116,0.020786157353057284,inf,0.2371591311568954
XLP,XLB,-10.715914124186881,1.289191548460998,0.07668452199418074,0.022429568584594783,inf,0.23964563623151022
VGT,XLI,36.66084687526297,0.15359365487730642,0.0806822619364464,0.02383249016151123,inf,0.24180590083918307
VDC,VHT,-25.246004479831015,1.4562190532121446,0.09187474127425693,0.027956838818949066,inf,0.2479326320372824
XLP,VHT,-32.04753824548075,3.9235561848666807,0.1145253618427467,0.036713882362636605,inf,0.26049569768215336
