Date,spread,z,side,entry_flag,exit_flag,w_x,w_y,x,y
2017-01-03,-13.586285620218803,,1,1,0,-1.0,1.0,31.982799530029297,80.47456359863281
2017-01-04,-13.094966363390853,,0,0,1,-0.0,0.0,31.868030548095703,80.62834930419922
2017-01-05,-13.427679054264516,,1,1,0,-1.0,1.0,31.944551467895508,80.52068328857422
2017-01-06,-13.520522641709746,,0,0,1,-0.0,0.0,31.936899185180664,80.40533447265625
2017-01-09,-13.421250530320322,,1,1,0,-1.0,1.0,31.61553192138672,79.5594711303711
2017-01-10,-13.93698039527753,,0,0,1,-0.0,0.0,31.401294708251953,78.4136734008789
2017-01-11,-14.08252329970874,,1,1,0,-1.0,1.0,31.4089412689209,78.29061889648438
2017-01-12,-13.834454251058744,,0,0,1,-0.0,0.0,31.33243179321289,78.31367492675781
2017-01-13,-13.899922383713331,,1,1,0,-1.0,1.0,31.27887535095215,78.0906982421875
2017-01-17,-14.172893134325122,,0,0,1,-0.0,0.0,31.53902816772461,78.58283233642578
2017-01-18,-13.907452961527795,,1,1,0,-1.0,1.0,31.59258270263672,79.00577545166016
2017-01-19,-13.862144069165012,,0,0,1,-0.0,0.0,31.47781753540039,78.71356201171875
2017-01-20,-13.590439983445322,,1,1,0,-1.0,1.0,31.61553192138672,79.3902816772461
2017-01-23,-13.245861338723188,,0,0,1,-0.0,0.0,31.699703216552734,79.98240661621094
2017-01-24,-13.765206996047368,,1,1,0,-1.0,1.0,32.05931854248047,80.52068328857422
2017-01-25,-14.33712130887453,,0,0,1,-0.0,0.0,32.227638244628906,80.44379425048828
2017-01-26,-14.000981894486301,,1,1,0,-1.0,1.0,31.990449905395508,80.08236694335938
2017-01-27,-13.698426872402365,,0,0,1,-0.0,0.0,31.71500015258789,79.5748291015625
2017-01-30,-13.379439715048022,,1,1,0,-1.0,1.0,31.661453247070312,79.73633575439453
2017-01-31,-13.737761914929962,,0,0,1,-0.0,0.0,31.806819915771484,79.80553436279297
2017-02-01,-13.632282435673872,,1,1,0,-1.0,1.0,31.569623947143555,79.21342468261719
2017-02-02,-13.16300092098679,,0,0,1,-0.0,0.0,31.676748275756836,79.99775695800781
2017-02-03,-12.647497394935428,,1,1,0,-1.0,1.0,31.78386116027832,80.82827758789062
2017-02-06,-13.10777736586381,,0,0,1,-0.0,0.0,31.799171447753903,80.41302490234375
2017-02-07,-13.073106471145024,,1,1,0,-1.0,1.0,32.05931854248047,81.21278381347656
2017-02-08,-13.281608528882899,,0,0,1,-0.0,0.0,32.15113067626953,81.27429962158203
2017-02-09,-11.33360075456443,,1,1,0,-1.0,1.0,31.56197166442871,81.4896011352539
2017-02-10,-9.72597119270766,,0,0,1,-0.0,0.0,31.049335479736328,81.5895767211914
2017-02-13,-9.492979701472265,,1,1,0,-1.0,1.0,31.07992935180664,81.91254425048828
2017-02-14,-8.982869982857494,2.995471694212695,0,0,1,-0.0,0.0,31.011072158813477,82.22014617919922
2017-02-15,-8.926433011002004,2.5636994687188888,1,1,0,-1.0,1.0,30.942209243774418,82.07405853271484
2017-02-16,-9.567770677867927,1.9356646731453389,0,0,1,-0.0,0.0,31.52372360229492,83.1429443359375
2017-02-17,-9.612200265703436,1.7362633664212075,1,1,0,-1.0,1.0,31.54667282104492,83.16600799560547
2017-02-21,-9.199283468758239,1.7840016071756513,0,0,1,-0.0,0.0,31.72265625,84.09648895263672
2017-02-22,-9.475898909460327,1.5078105618670958,1,1,0,-1.0,1.0,31.82978630065918,84.13494110107422
2017-02-23,-9.510947515233568,1.3803360043643025,0,0,1,-0.0,0.0,31.87569236755371,84.23490142822266
2017-02-24,-9.557933721097896,1.2630459500738775,1,1,0,-1.0,1.0,31.967498779296875,84.45791625976562
2017-02-27,-9.741068317791246,1.0957509631609308,0,0,1,-0.0,0.0,31.88333320617676,84.02725219726562
2017-02-28,-9.540025034023074,1.1151731932596967,1,1,0,-1.0,1.0,32.10521697998047,84.88085174560547
2017-03-01,-9.910319407824062,0.8751874308085839,0,0,1,-0.0,0.0,32.25824737548828,84.96061706542969
2017-03-02,-10.313727862903576,0.6281817755262659,1,1,0,-1.0,1.0,32.49545669555664,85.25483703613281
2017-03-03,-9.987833200543946,0.7357083963819231,0,0,1,-0.0,0.0,32.50310516357422,85.60322570800781
2017-03-06,-10.03277225909342,0.6621715997771875,1,1,0,-1.0,1.0,32.2735481262207,84.88316345214844
2017-03-07,-9.845246175288594,0.7057648256741363,0,0,1,-0.0,0.0,32.128170013427734,84.64313507080078
2017-03-08,-9.860741475581563,0.6462601659962072,1,1,0,-1.0,1.0,32.128170013427734,84.62763977050781
2017-03-09,-10.167536376288894,0.4335632015710276,0,0,1,-0.0,0.0,32.15877914428711,84.4108657836914
2017-03-10,-10.31126741738656,0.3011033576511096,1,1,0,-1.0,1.0,32.35771560668945,84.85220336914062
2017-03-13,-10.700326271951027,0.016598143309421054,0,0,1,-0.0,0.0,32.44261932373047,84.71284484863281
2017-03-14,-10.618338567256103,0.010949045363967718,1,1,0,-1.0,1.0,32.39631271362305,84.65864562988281
2017-03-15,-9.588407520148863,0.6303242924900039,0,0,1,-0.0,0.0,32.51209259033203,86.02908325195312
2017-03-16,-9.860313125183168,0.3877359704686885,1,1,0,-1.0,1.0,32.61244583129883,86.05231475830078
2017-03-17,-9.167275734841652,0.8745155847055173,0,0,1,-0.0,0.0,32.44261932373047,86.24589538574219
2017-03-20,-9.693645129274472,0.39123129457335043,1,1,0,-1.0,1.0,32.55841064453125,86.06006622314453
2017-03-21,-9.940041883393462,0.09464394758122856,0,0,1,-0.0,0.0,32.805423736572266,86.54013061523438
2017-03-22,-9.47405061289615,0.5404809122441958,1,1,0,-1.0,1.0,32.71278762817383,86.73368072509766
